x,y,z
24892,35534,67070
25285,35523,67070
25412,35532,67070
25573,35563,67070
26032,35521,67070
26009,35551,67070
26066,35565,67070
26131,35555,67070
26203,35571,67070
26266,35578,67070
26395,35567,67070
26462,35579,67070
26453,35552,67070
26572,35562,67070
27678,35550,67070
19817,35632,67070
20164,35638,67070
20426,35594,67070
20524,35589,67070
20492,35640,67070
20621,35612,67070
20705,35602,67070
20748,35588,67070
20843,35608,67070
20918,35596,67070
20896,35628,67070
20965,35641,67070
21035,35605,67070
21075,35635,67070
21118,35602,67070
21172,35609,67070
21226,35635,67070
21266,35602,67070
21282,35630,67070
21314,35640,67070
21550,35621,67070
21700,35643,67070
21823,35633,67070
21870,35590,67070
21914,35629,67070
22005,35603,67070
22144,35646,67070
22249,35595,67070
22374,35609,67070
22414,35644,67070
22477,35607,67070
23427,35645,67070
23903,35637,67070
24177,35608,67070
24204,35595,67070
25463,35631,67070
25660,35620,67070
25956,35631,67070
26012,35592,67070
26018,35630,67070
26063,35630,67070
26109,35609,67070
26224,35613,67070
26254,35614,67070
26240,35594,67070
26322,35595,67070
26720,35594,67070
27471,35595,67070
19382,35674,67070
19740,35689,67070
20015,35657,67070
20161,35688,67070
20173,35710,67070
20196,35693,67070
20216,35657,67070
20245,35684,67070
20287,35677,67070
20348,35703,67070
20428,35650,67070
20661,35692,67070
20609,35710,67070
20810,35676,67070
20975,35697,67070
21013,35680,67070
21046,35677,67070
21101,35680,67070
21179,35648,67070
21173,35698,67070
21208,35666,67070
21221,35695,67070
21245,35669,67070
21285,35667,67070
21258,35690,67070
21323,35691,67070
21381,35664,67070
21557,35685,67070
21543,35651,67070
21605,35662,67070
21760,35698,67070
21855,35697,67070
21964,35665,67070
22063,35688,67070
22340,35648,67070
22463,35688,67070
22534,35648,67070
22588,35702,67070
22662,35697,67070
23339,35655,67070
23407,35693,67070
23513,35668,67070
23711,35695,67070
24099,35676,67070
24173,35669,67070
24253,35652,67070
24263,35708,67070
24303,35689,67070
25050,35676,67070
25220,35676,67070
25352,35658,67070
26040,35681,67070
25992,35702,67070
26086,35674,67070
26144,35651,67070
26222,35654,67070
26296,35667,67070
26261,35691,67070
26346,35660,67070
26332,35696,67070
26461,35688,67070
26660,35688,67070
26780,35652,67070
27418,35697,67070
27551,35698,67070
19403,35735,67070
19596,35752,67070
19885,35754,67070
20226,35750,67070
20273,35720,67070
20278,35762,67070
20309,35754,67070
20412,35714,67070
20372,35765,67070
20549,35739,67070
20670,35738,67070
20640,35756,67070
20702,35758,67070
20780,35726,67070
20813,35775,67070
20876,35714,67070
20960,35762,67070
21028,35726,67070
21039,35767,67070
21098,35746,67070
21179,35756,67070
21185,35732,67070
21208,35750,67070
21239,35770,67070
21219,35729,67070
21296,35713,67070
21293,35758,67070
21260,35728,67070
21357,35720,67070
21340,35773,67070
21440,35743,67070
21562,35754,67070
21601,35720,67070
21653,35728,67070
22220,35734,67070
22494,35728,67070
22790,35732,67070
22892,35727,67070
22995,35745,67070
23131,35765,67070
23218,35730,67070
23268,35738,67070
23357,35753,67070
23311,35739,67070
23395,35736,67070
23447,35734,67070
23536,35754,67070
23495,35737,67070
23577,35747,67070
23630,35746,67070
23863,35730,67070
23844,35760,67070
23966,35760,67070
24091,35732,67070
24131,35759,67070
25789,35718,67070
25948,35716,67070
25981,35740,67070
26018,35721,67070
26043,35749,67070
26109,35726,67070
26275,35733,67070
26563,35733,67070
26663,35773,67070
26746,35725,67070
26771,35774,67070
26867,35771,67070
26865,35732,67070
26817,35762,67070
26914,35754,67070
27203,35771,67070
27279,35733,67070
27637,35748,67070
27761,35721,67070
27935,35765,67070
19826,35822,67070
20142,35834,67070
20197,35808,67070
20260,35820,67070
20288,35799,67070
20335,35804,67070
20389,35836,67070
20425,35789,67070
20606,35777,67070
20563,35813,67070
20629,35813,67070
20704,35831,67070
20674,35798,67070
20716,35796,67070
20889,35793,67070
21076,35813,67070
21132,35798,67070
21198,35787,67070
21284,35778,67070
21275,35832,67070
21385,35807,67070
21421,35830,67070
21578,35810,67070
21619,35798,67070
21712,35802,67070
21803,35786,67070
22358,35790,67070
22622,35785,67070
22662,35835,67070
22708,35777,67070
22897,35825,67070
22985,35796,67070
23048,35784,67070
23145,35819,67070
23314,35797,67070
23415,35836,67070
23363,35837,67070
23425,35779,67070
23456,35783,67070
23485,35786,67070
23508,35792,67070
23514,35818,67070
23554,35830,67070
23636,35816,67070
23804,35815,67070
23787,35782,67070
23759,35802,67070
23873,35819,67070
25099,35814,67070
25323,35809,67070
25576,35816,67070
25894,35803,67070
25966,35809,67070
25978,35835,67070
25993,35782,67070
26007,35821,67070
26044,35838,67070
26040,35795,67070
26071,35779,67070
26072,35812,67070
26084,35839,67070
26092,35794,67070
26118,35821,67070
26152,35830,67070
26154,35793,67070
26353,35808,67070
26558,35802,67070
26600,35782,67070
26616,35808,67070
26726,35790,67070
26748,35804,67070
26792,35800,67070
26854,35795,67070
26884,35793,67070
26902,35817,67070
26936,35826,67070
26932,35804,67070
26976,35834,67070
26962,35801,67070
27088,35794,67070
27271,35806,67070
27355,35824,67070
